CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,Discount,TotalAmount,Month,DayOfWeek,Hour,Quarter,DiscountAmount,EffectiveUnitPrice,AnomalyScore,AnomalyScoreRaw
266491,C,8,98.79272609,2023-09-25 04:38:00,Debit Card,"388 Matthew Lane Apt. 592
West Andreachester, IN 96537",Books,14.17495322,678.3112271,9,0,4,3,112.03058166416189,84.7889033875,-1,-0.010048169646174832
113126,B,5,98.61003733,2024-01-22 07:51:00,PayPal,"373 Wagner Extensions
Port Heidi, IN 15041",Electronics,0.433074844,490.9149103,1,0,7,1,2.1352763266761965,98.18298206,-1,-0.01829753118950872
142499,B,9,88.77816489,2023-05-08 00:23:00,Credit Card,"409 Hampton Hill
Lake Gail, MA 03704",Electronics,0.888264045,791.9062233,5,0,0,2,7.097260666758155,87.98958036666666,-1,-0.04247422874532758
758832,B,9,80.90037402,2024-02-25 13:48:00,Debit Card,"248 Cochran Village
West Dianaland, TX 12916",Home Decor,2.095020551,712.8494511,2,6,13,1,15.253915153993784,79.20549456666667,-1,-0.023904222128469765
381440,B,1,15.12604253,2024-01-15 17:11:00,Cash,"505 Dennis Courts
North Christopherburgh, DE 62352",Books,2.023900944,14.81990641,1,0,17,1,0.3061361175545115,14.81990641,-1,-0.009622075030893185
776979,A,1,89.29578752,2023-12-17 11:19:00,Debit Card,"758 Ashley Ports Suite 163
West Mary, RI 71233",Clothing,18.37811716,72.88490307,12,6,11,4,16.410884449370258,72.88490307,-1,-0.005806349762333074
375520,D,9,92.58788273,2023-10-05 16:56:00,Cash,"731 Steven Spring
Fullerhaven, MS 22618",Books,13.99231235,716.6942728,10,3,16,4,116.59667174849977,79.63269697777778,-1,-0.02282332306194612
206597,C,3,10.18029828,2023-08-14 20:44:00,Credit Card,"509 Hernandez Tunnel Apt. 576
Crosshaven, PA 57423",Electronics,19.77123768,24.50258193,8,0,20,3,6.038312908415255,8.16752731,-1,-0.017601789343355212
862686,A,9,89.89839678,2023-07-13 07:38:00,Cash,"496 Walter Rue Suite 559
North Michael, WA 95735",Electronics,15.65243009,682.4440177,7,3,7,3,126.64155337218278,75.82711307777778,-1,-0.009255733503535923
419179,A,1,96.22554316,2023-05-23 11:34:00,PayPal,"17180 Shields Vista Apt. 531
New Laurentown, AL 29766",Books,17.39096736,79.49099036,5,1,11,2,16.734552802938314,79.49099036,-1,-0.0104789153282141
825043,C,1,11.69662643,2024-01-29 03:12:00,Cash,"24857 Jonathan Plaza Suite 543
Benjaminview, OR 07537",Home Decor,8.555662721,10.69590252,1,0,3,1,1.0007239070861431,10.69590252,-1,-0.005471653641135554
273092,A,7,97.59568989,2024-01-01 00:44:00,PayPal,"0513 John Islands Suite 477
Lake Abigailborough, MS 69968",Electronics,2.70379818,664.6982958,1,0,0,1,18.47153340902985,94.9568994,-1,-0.0006326648881167518
185493,B,1,88.0010994,2024-01-31 04:51:00,Cash,"6085 Alvarez Square
Curtisport, SC 98654",Home Decor,19.29523943,71.02107657,1,2,4,1,16.980022830262293,71.02107657,-1,-0.015866875863809415
83734,B,6,99.85892545,2023-12-23 18:59:00,PayPal,"8068 Tracy Cliffs Apt. 638
North Traciville, NH 65031",Electronics,0.458699413,596.4052389,12,5,18,4,2.7483138292035454,99.40087315,-1,-0.018879689537777966
407043,D,9,74.98602744,2024-02-03 03:08:00,Debit Card,"30872 Richardson Prairie
South Tyler, CA 54133",Electronics,2.048333702,661.0505703,2,5,3,1,13.82367664660039,73.45006336666667,-1,-0.004026557177262968
240189,C,9,90.61015292,2024-04-03 20:19:00,Debit Card,"Unit 2580 Box 8266
DPO AE 81554",Home Decor,8.934478019,742.6314785,4,2,20,2,72.85989776057718,82.51460872222222,-1,-0.011343972257147783
533585,C,9,97.48418681,2024-04-08 15:56:00,PayPal,"USNV Watkins
FPO AP 77333",Electronics,19.42244911,706.9533322,4,0,15,2,170.40434916122624,78.55037024444444,-1,-0.062432572669805064
493138,D,9,99.99928381,2023-09-27 23:40:00,Credit Card,"766 Bryant Lock
North Ashley, MP 73093",Clothing,2.093143254,881.1553999,9,2,23,3,18.83815436805596,97.90615554444445,-1,-0.09186250759980685
